Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Slumdog Millionaire,GBR,2008,120,4.5,0,Drama,0,3.9
Die Welle,GER,2008,107,4,0,Thriller,0,3.6
Deu a Louca na Branca de Neve,USA,2009,75,4.5,0,Fantasia,1,2.2
Coraline,USA,2009,100,5,0,Terror,1,4.2
Halloween II,USA,2009,105,2,0,Terror,0,2.3
Barbie Presents: Thumbelina,CAN,2009,75,2.5,0,Fantasia,1,2.9
Monsters vs Aliens,USA,2009,94,2,0,Sci-fi,1,2.8
Hannah Montana: The Movie,USA,2009,102,2.5,0,Musical,0,3.3
Angels & Demons,USA,2009,138,NA,0,Mistério,0,3.1
Up,USA,2009,96,4,0,Aventura,1,4.1
Bastardos Inglórios,USA,2009,153,5,0,Drama,0,4.3
Uma Noite no Museu 2,USA,2009,105,NA,0,Aventura,0,2.9
Era do Gelo 3,USA,2009,94,3,0,Aventura,1,3.1
Harry Potter and the Half-Blood Prince,GBR,2009,153,NA,0,Fantasia,0,3.7
Tinker Bell and the Lost Treasure,USA,2009,81,3,0,Fantasia,1,3.1
Jennifer’s Body,USA,2009,102,3.5,0,Terror,0,3.4
Scooby-Doo! The Mystery Begins,USA,2009,82,2.5,0,Mistério,0,2.2
Barbie and the Three Musketeers,CAN,2009,81,4,0,Fantasia,1,3.7
Orphan,CAN,2009,122,3,0,Terror,0,3.3
Tá Chovendo Hamburguer,USA,2009,90,3,0,Comédia,1,3.4
Os Fantasmas de Scrooge,USA,2009,94,5,0,Terror,1,3.1
A Princesa e o Sapo,USA,2009,98,4.5,0,Fantasia,1,3.9
Avatar,USA,2009,162,NA,0,Fantasia,0,3.6
Alvin e os Esquilos 2,USA,2009,88,2,0,Fantasia,0,2.3
The Ghost Writer,GBR,2010,128,2.5,0,Thriller,0,3.6
Barbie in A Mermaid Tale,USA,2010,75,5,0,Fantasia,1,3.7
Percy Jackson e o Ladrão de Raios,USA,2010,118,3,0,Aventura,0,2.6
Toy Story 3,USA,2010,103,4,0,Comédia,1,4
